KEGG_Foam_pathway	KEGG_Foam_pathway	Univocal number of KEGG codes	Total number of KEGG codes	Univocal number of genes	Total number of genes	Output type
M00501	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system	1	3	3	3	KEGG_MODULE
M00502	GlrK-GlrR (amino sugar metabolism) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00503	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00504	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00505	KinB-AlgB (alginate production) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00506	CheA-CheYBV (chemotaxis) two-component regulatory system	1	17	17	17	KEGG_MODULE
M00507	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00508	PixL-PixGH (positive phototaxis) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00509	WspE-WspRF (chemosensory) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00510	Cph1-Rcp1 (light response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00511	PleC-PleD (cell fate control) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00512	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00514	TtrS-TtrR (tetrathionate respiration) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00515	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00517	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00519	YesM-YesN two-component regulatory system	0	0	0	0	KEGG_MODULE
M00520	ChvG-ChvI (acidity sensing) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00521	CiaH-CiaR two-component regulatory system	0	0	0	0	KEGG_MODULE
M00522	SalK-SalR two-component regulatory system	0	0	0	0	KEGG_MODULE
M00523	RegB-RegA (redox response) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00524	FixL-FixJ (nitrogen fixation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	3	4	4	4	KEGG_MODULE
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	5	9	5	9	KEGG_MODULE
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	5	9	5	9	KEGG_MODULE
M00528	Nitrification, ammonia => nitrite	1	3	3	3	KEGG_MODULE
M00529	Denitrification, nitrate => nitrogen	4	12	11	12	KEGG_MODULE
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	1	1	1	1	KEGG_MODULE
M00531	Assimilatory nitrate reduction, nitrate => ammonia	0	0	0	0	KEGG_MODULE
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0	0	0	0	KEGG_MODULE
M00534	Naphthalene degradation, naphthalene => salicylate	0	0	0	0	KEGG_MODULE
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	2	4	2	4	KEGG_MODULE
M00537	Xylene degradation, xylene => methylbenzoate	0	0	0	0	KEGG_MODULE
M00538	Toluene degradation, toluene => benzoate	0	0	0	0	KEGG_MODULE
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	0	0	0	0	KEGG_MODULE
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	0	0	0	0	KEGG_MODULE
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	0	0	0	0	KEGG_MODULE
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	KEGG_MODULE
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	0	0	0	0	KEGG_MODULE
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	0	0	0	0	KEGG_MODULE
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	3	4	4	4	KEGG_MODULE
M00546	Purine degradation, xanthine => urea	3	8	8	8	KEGG_MODULE
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	0	0	0	0	KEGG_MODULE
M00548	Benzene degradation, benzene => catechol	0	0	0	0	KEGG_MODULE
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	3	7	7	7	KEGG_MODULE
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	0	0	0	0	KEGG_MODULE
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	0	0	0	0	KEGG_MODULE
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	3	4	4	4	KEGG_MODULE
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	2	3	3	3	KEGG_MODULE
M00555	Betaine biosynthesis, choline => betaine	0	0	0	0	KEGG_MODULE
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	3	7	7	7	KEGG_MODULE
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	KEGG_MODULE
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	5	7	7	7	KEGG_MODULE
M00566	Dipeptide transport system, Firmicutes	0	0	0	0	KEGG_MODULE
M00567	Methanogenesis, CO2 => methane	6	14	14	14	KEGG_MODULE
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	0	0	0	0	KEGG_MODULE
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	0	0	0	0	KEGG_MODULE
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	6	7	7	7	KEGG_MODULE
M00571	AlgE-type Mannuronan C-5-Epimerase transport system	0	0	0	0	KEGG_MODULE
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0	0	0	0	KEGG_MODULE
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	0	0	0	0	KEGG_MODULE
M00574	Pertussis pathogenicity signature 1, pertussis toxin	0	0	0	0	KEGG_MODULE
M00575	Pertussis pathogenicity signature 2, T1SS	0	0	0	0	KEGG_MODULE
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	0	0	0	0	KEGG_MODULE
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	2	2	1	2	KEGG_MODULE
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	4	5	1	5	KEGG_MODULE
M00581	Biotin transport system	0	0	0	0	KEGG_MODULE
M00582	Energy-coupling factor transport system	0	0	0	0	KEGG_MODULE
M00583	Putative peptide transport system	0	0	0	0	KEGG_MODULE
M00584	Acetoin utilization transport system	0	0	0	0	KEGG_MODULE
M00585	L-Cystine transport system	0	0	0	0	KEGG_MODULE
M00586	Putative amino-acid transport system	0	0	0	0	KEGG_MODULE
M00587	Arginine/lysine/histidine/glutamine transport system	0	0	0	0	KEGG_MODULE
M00589	Putative lysine transport system	0	0	0	0	KEGG_MODULE
M00590	Erythritol transport system	0	0	0	0	KEGG_MODULE
M00591	Putative xylitol transport system	0	0	0	0	KEGG_MODULE
M00592	Inositol transport system	0	0	0	0	KEGG_MODULE
M00593	Inositol transport system	0	0	0	0	KEGG_MODULE
M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0	0	0	0	KEGG_MODULE
M00596	Dissimilatory sulfate reduction, sulfate => H2S	2	11	9	11	KEGG_MODULE
M00597	Anoxygenic photosystem II	0	0	0	0	KEGG_MODULE
M00598	Anoxygenic photosystem I	0	0	0	0	KEGG_MODULE
M00599	Inositol-phosphate transport system	0	0	0	0	KEGG_MODULE
M00600	alpha-1,4-Digalacturonate transport system	0	0	0	0	KEGG_MODULE
M00601	Putative chitobiose transport system	0	0	0	0	KEGG_MODULE
M00602	Arabinosaccharide transport system	1	1	1	1	KEGG_MODULE
M00603	Putative aldouronate transport system	0	0	0	0	KEGG_MODULE
M00604	Trehalose transport system	0	0	0	0	KEGG_MODULE
M00605	Glucose/mannose transport system	1	1	1	1	KEGG_MODULE
M00606	N,N'-Diacetylchitobiose transport system	1	1	1	1	KEGG_MODULE
M00607	Glycerol transport system	0	0	0	0	KEGG_MODULE
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	1	1	1	1	KEGG_MODULE
M00609	Cysteine biosynthesis, methionine => cysteine	2	2	2	2	KEGG_MODULE
M00610	PTS system, D-glucosaminate-specific II component	0	0	0	0	KEGG_MODULE
M00611	Oxygenic photosynthesis in plants and cyanobacteria	7	13	13	13	KEGG_MODULE
M00612	Anoxygenic photosynthesis in purple bacteria	7	13	13	13	KEGG_MODULE
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	12	39	20	39	KEGG_MODULE
M00614	Anoxygenic photosynthesis in green sulfur bacteria	23	49	37	49	KEGG_MODULE
M00615	Nitrate assimilation	1	1	1	1	KEGG_MODULE
M00616	Sulfate-sulfur assimilation	8	30	14	30	KEGG_MODULE
M00617	Methanogen	10	24	17	24	KEGG_MODULE
M00618	Acetogen	5	7	4	7	KEGG_MODULE
M00619	Xylobiose transport system	0	0	0	0	KEGG_MODULE
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	10	15	15	15	KEGG_MODULE
M00622	Nicotinate degradation, nicotinate => fumarate	0	0	0	0	KEGG_MODULE
M00623	Phthalate degradation, phthalate => protocatechuate	0	0	0	0	KEGG_MODULE
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	0	0	0	0	KEGG_MODULE
M00625	Methicillin resistance	0	0	0	0	KEGG_MODULE
M00627	beta-Lactam resistance, Bla system	0	0	0	0	KEGG_MODULE
M00628	beta-Lactam resistance, AmpC system	1	5	5	5	KEGG_MODULE
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	1	1	1	1	KEGG_MODULE
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	10	10	10	KEGG_MODULE
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	0	0	0	0	KEGG_MODULE
M00634	Oleandomycin transport system	0	0	0	0	KEGG_MODULE
M00635	Tetracycline resistance, TetAB(46) transporter	0	0	0	0	KEGG_MODULE
M00636	Phthalate degradation, phthalate => protocatechuate	0	0	0	0	KEGG_MODULE
M00637	Anthranilate degradation, anthranilate => catechol	0	0	0	0	KEGG_MODULE
M00638	Salicylate degradation, salicylate => gentisate	0	0	0	0	KEGG_MODULE
M00639	Multidrug resistance, efflux pump MexCD-OprJ	0	0	0	0	KEGG_MODULE
M00641	Multidrug resistance, efflux pump MexEF-OprN	0	0	0	0	KEGG_MODULE
M00642	Multidrug resistance, efflux pump MexJK-OprM	0	0	0	0	KEGG_MODULE
M00643	Multidrug resistance, efflux pump MexXY-OprM	0	0	0	0	KEGG_MODULE
M00644	Vanadium resistance, efflux pump MexGHI-OpmD	0	0	0	0	KEGG_MODULE
M00645	Multidrug resistance, efflux pump SmeABC	1	8	8	8	KEGG_MODULE
M00646	Multidrug resistance, efflux pump AcrAD-TolC	1	8	8	8	KEGG_MODULE
M00647	Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF	0	0	0	0	KEGG_MODULE
M00648	Multidrug resistance, efflux pump MdtABC	1	8	8	8	KEGG_MODULE
M00649	Multidrug resistance, efflux pump AdeABC	0	0	0	0	KEGG_MODULE
M00651	Vancomycin resistance, D-Ala-D-Lac type	0	0	0	0	KEGG_MODULE
M00652	Vancomycin resistance, D-Ala-D-Ser type	0	0	0	0	KEGG_MODULE
M00653	AauS-AauR (acidic amino acids utilization) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00654	ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00655	AdeS-AdeR two-component regulatory system	0	0	0	0	KEGG_MODULE
M00656	VanS-VanR (VanB type vancomycin resistance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00657	VanS-VanR (VanE type vancomycin resistance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00658	VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	0	0	0	0	KEGG_MODULE
M00662	Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system	1	1	1	1	KEGG_MODULE
M00663	SsrA-SsrB two-component regulatory system	0	0	0	0	KEGG_MODULE
M00664	Nodulation	0	0	0	0	KEGG_MODULE
M00667	Tetracycline resistance, efflux pump	0	0	0	0	KEGG_MODULE
M00668	Tetracycline resistance, TetA transporter	0	0	0	0	KEGG_MODULE
M00669	gamma-Hexachlorocyclohexane transport system	0	0	0	0	KEGG_MODULE
M00670	Mce transport system	0	0	0	0	KEGG_MODULE
M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	0	0	0	0	KEGG_MODULE
M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	0	0	0	0	KEGG_MODULE
M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	0	0	0	0	KEGG_MODULE
M00696	Multidrug resistance, efflux pump AcrEF-TolC	0	0	0	0	KEGG_MODULE
M00697	Multidrug resistance, efflux pump MdtEF-TolC	0	0	0	0	KEGG_MODULE
M00698	Multidrug resistance, efflux pump BpeEF-OprC	0	0	0	0	KEGG_MODULE
M00699	Multidrug resistance, efflux pump AmeABC	0	0	0	0	KEGG_MODULE
M00700	Multidrug resistance, efflux pump AbcA	0	0	0	0	KEGG_MODULE
M00701	Multidrug resistance, efflux pump EmrAB	0	0	0	0	KEGG_MODULE
M00702	Multidrug resistance, efflux pump NorB	0	0	0	0	KEGG_MODULE
M00704	Tetracycline resistance, efflux pump Tet38	0	0	0	0	KEGG_MODULE
M00705	Multidrug resistance, efflux pump MepA	0	0	0	0	KEGG_MODULE
M00706	Multidrug resistance, EfrAB transporter	0	0	0	0	KEGG_MODULE
M00707	Multidrug resistance, MdlAB/SmdAB transporter	0	0	0	0	KEGG_MODULE
M00708	Multidrug resistance, PatAB transporter	0	0	0	0	KEGG_MODULE
M00709	Macrolide resistance, MacAB-TolC transporter	0	0	0	0	KEGG_MODULE
M00710	Multidrug resistance, efflux pump EbrAB	0	0	0	0	KEGG_MODULE
M00711	Multidrug resistance, efflux pump MdtIJ	0	0	0	0	KEGG_MODULE
M00712	Multidrug resistance, efflux pump YkkCD	0	0	0	0	KEGG_MODULE
M00713	Fluoroquinolone resistance, efflux pump LfrA	0	0	0	0	KEGG_MODULE
M00714	Multidrug resistance, efflux pump QacA	0	0	0	0	KEGG_MODULE
M00715	Lincosamide resistance, efflux pump LmrB	0	0	0	0	KEGG_MODULE
M00716	ArlS-ArlR (virulence regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00717	Multidrug resistance, efflux pump NorA	1	4	4	4	KEGG_MODULE
M00718	Multidrug resistance, efflux pump MexAB-OprM	0	0	0	0	KEGG_MODULE
M00719	Ihk-Irr (virulence regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00720	Multidrug resistance, efflux pump VexEF-TolC	0	0	0	0	KEGG_MODULE
M00721	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	0	0	0	0	KEGG_MODULE
M00722	Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase PmrC	0	0	0	0	KEGG_MODULE
M00723	Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase EptB	0	0	0	0	KEGG_MODULE
M00724	Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP	0	0	0	0	KEGG_MODULE
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	0	0	0	0	KEGG_MODULE
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	0	0	0	KEGG_MODULE
M00727	Cationic antimicrobial peptide (CAMP) resistance, N-acetylmuramoyl-L-alanine amidase AmiA and AmiC	1	13	13	13	KEGG_MODULE
M00728	Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading factors DegP and DsbA	0	0	0	0	KEGG_MODULE
M00729	Fluoroquinolone resistance, gyrase-protecting protein Qnr	0	0	0	0	KEGG_MODULE
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	0	0	0	0	KEGG_MODULE
M00731	Bacitracin transport system	0	0	0	0	KEGG_MODULE
M00732	Cationic antimicrobial peptide transport system	0	0	0	0	KEGG_MODULE
M00733	GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00734	BraS-BraR (bacitracin transport) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	0	0	0	0	KEGG_MODULE
M00737	Bacitracin resistance, VraDE transporter	0	0	0	0	KEGG_MODULE
M00738	Bacitracin resistance, BceAB transporter	0	0	0	0	KEGG_MODULE
M00739	Cationic peptide transport system	0	0	0	0	KEGG_MODULE
M00740	Methylaspartate cycle	4	4	4	4	KEGG_MODULE
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	5	13	5	13	KEGG_MODULE
M00742	Aminoglycoside resistance, protease FtsH	0	0	0	0	KEGG_MODULE
M00743	Aminoglycoside resistance, protease HtpX	0	0	0	0	KEGG_MODULE
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	0	0	0	0	KEGG_MODULE
M00745	Imipenem resistance, repression of porin OprD	0	0	0	0	KEGG_MODULE
M00746	Multidrug resistance, repression of porin OmpF	0	0	0	0	KEGG_MODULE
M00747	Bacitracin transport system	0	0	0	0	KEGG_MODULE
M00754	Nisin resistance, phage shock protein homolog LiaH	1	1	1	1	KEGG_MODULE
M00760	Erythromycin resistance, macrolide 2'-phosphotransferase I MphA	0	0	0	0	KEGG_MODULE
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	0	0	0	0	KEGG_MODULE
M00762	Copper-processing system	0	0	0	0	KEGG_MODULE
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	1	3	3	3	KEGG_MODULE
M00764	PTS system, fructoselysine/glucoselysine-specific II component	0	0	0	0	KEGG_MODULE
M00765	Multidrug resistance, efflux pump Bmr	0	0	0	0	KEGG_MODULE
M00766	Streptomycin resistance, deactivating enzyme StrAB	0	0	0	0	KEGG_MODULE
M00767	Multidrug resistance, efflux pump OqxAB	0	0	0	0	KEGG_MODULE
M00768	Multidrug resistance, efflux pump GesABC	0	0	0	0	KEGG_MODULE
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	0	0	0	0	KEGG_MODULE
M00770	PfeS-PfeR (enterobactin-dependent iron acquisition) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00771	FitF-FitH (insecticidal toxin regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00772	HupT-HupR (hydrogenase synthesis regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	0	0	0	0	KEGG_MODULE
M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	0	0	0	0	KEGG_MODULE
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	1	6	6	6	KEGG_MODULE
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	0	0	0	0	KEGG_MODULE
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	0	0	0	0	KEGG_MODULE
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	0	0	0	0	KEGG_MODULE
M00787	Bacilysin biosynthesis, prephenate => bacilysin	0	0	0	0	KEGG_MODULE
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	0	0	0	0	KEGG_MODULE
M00791	Manganese/zinc transport system	0	0	0	0	KEGG_MODULE
M00792	Manganese/zinc transport system	0	0	0	0	KEGG_MODULE
M00793	dTDP-L-rhamnose biosynthesis	0	0	0	0	KEGG_MODULE
M00794	dTDP-6-deoxy-D-allose biosynthesis	0	0	0	0	KEGG_MODULE
M00796	dTDP-D-mycaminose biosynthesis	0	0	0	0	KEGG_MODULE
M00797	dTDP-D-desosamine biosynthesis	0	0	0	0	KEGG_MODULE
M00798	dTDP-L-mycarose biosynthesis	0	0	0	0	KEGG_MODULE
M00799	dTDP-L-oleandrose biosynthesis	0	0	0	0	KEGG_MODULE
M00800	dTDP-L-megosamine biosynthesis	0	0	0	0	KEGG_MODULE
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	1	3	3	3	KEGG_MODULE
M00806	PTS system, maltose-specific II component	0	0	0	0	KEGG_MODULE
M00807	PTS system, galactose-specific II component	0	0	0	0	KEGG_MODULE
M00808	Violacein biosynthesis, tryptophan => violacein	0	0	0	0	KEGG_MODULE
M00809	PTS system, glucose-specific II component	0	0	0	0	KEGG_MODULE
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	0	0	0	0	KEGG_MODULE
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	0	0	0	0	KEGG_MODULE
M00812	AgrC2-AgrA2 (virulence regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00813	Lantibiotic transport system	0	0	0	0	KEGG_MODULE
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	0	0	0	0	KEGG_MODULE
M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	0	0	0	0	KEGG_MODULE
M00816	NisK-NisR (Lantibiotic biosynthesis) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00817	Lantibiotic transport system	0	0	0	0	KEGG_MODULE
M00818	FusK-FusR (virulence regulation) two-component regulatory system	0	0	0	0	KEGG_MODULE
M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	0	0	0	0	KEGG_MODULE
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	0	0	0	0	KEGG_MODULE
M00014	Glucuronate pathway (uronate pathway)	0	0	0	0	KEGG_MODULE
M00029	Urea cycle	0	0	0	0	KEGG_MODULE
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	0	0	0	0	KEGG_MODULE
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	0	0	0	0	KEGG_MODULE
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	0	0	0	0	KEGG_MODULE
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	0	0	0	0	KEGG_MODULE
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	0	0	0	KEGG_MODULE
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	KEGG_MODULE
M00044	Tyrosine degradation, tyrosine => homogentisate	0	0	0	0	KEGG_MODULE
M00047	Creatine pathway	0	0	0	0	KEGG_MODULE
M00055	N-glycan precursor biosynthesis	0	0	0	0	KEGG_MODULE
M00056	O-glycan biosynthesis, mucin type core	0	0	0	0	KEGG_MODULE
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	KEGG_MODULE
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	KEGG_MODULE
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	KEGG_MODULE
M00065	GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	KEGG_MODULE
M00066	Lactosylceramide biosynthesis	0	0	0	0	KEGG_MODULE
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	KEGG_MODULE
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	KEGG_MODULE
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	KEGG_MODULE
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	KEGG_MODULE
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	0	0	KEGG_MODULE
M00072	N-glycosylation by oligosaccharyltransferase	0	0	0	0	KEGG_MODULE
M00073	N-glycan precursor trimming	0	0	0	0	KEGG_MODULE
M00074	N-glycan biosynthesis, high-mannose type	0	0	0	0	KEGG_MODULE
M00075	N-glycan biosynthesis, complex type	0	0	0	0	KEGG_MODULE
M00076	Dermatan sulfate degradation	0	0	0	0	KEGG_MODULE
M00077	Chondroitin sulfate degradation	0	0	0	0	KEGG_MODULE
M00078	Heparan sulfate degradation	0	0	0	0	KEGG_MODULE
M00079	Keratan sulfate degradation	0	0	0	0	KEGG_MODULE
M00081	Pectin degradation	0	0	0	0	KEGG_MODULE
M00085	Fatty acid biosynthesis, elongation, mitochondria	0	0	0	0	KEGG_MODULE
M00089	Triacylglycerol biosynthesis	0	0	0	0	KEGG_MODULE
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	0	0	0	0	KEGG_MODULE
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	KEGG_MODULE
M00094	Ceramide biosynthesis	0	0	0	0	KEGG_MODULE
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	0	0	0	0	KEGG_MODULE
M00098	Acylglycerol degradation	0	0	0	0	KEGG_MODULE
M00099	Sphingosine biosynthesis	0	0	0	0	KEGG_MODULE
M00100	Sphingosine degradation	0	0	0	0	KEGG_MODULE
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	0	0	KEGG_MODULE
M00102	Ergocalciferol biosynthesis	0	0	0	0	KEGG_MODULE
M00103	Cholecalciferol biosynthesis	0	0	0	0	KEGG_MODULE
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	0	0	0	0	KEGG_MODULE
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	KEGG_MODULE
M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	KEGG_MODULE
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	KEGG_MODULE
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	KEGG_MODULE
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	KEGG_MODULE
M00113	Jasmonic acid biosynthesis	0	0	0	0	KEGG_MODULE
M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	0	0	0	0	KEGG_MODULE
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	0	0	0	0	KEGG_MODULE
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0	0	0	0	KEGG_MODULE
